task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,atc,125,1,1,32,16,2500,0,None,None,0.00025,th_corrected,0.8682795698924731,0.8675982886509201,0.8682795698924731,0.8420370762961393,0.8772769962683591,0.8682795698924731,0.8675982886509201,0.8682795698924731,0.8682795698924731,0.8521114762078618,0.8706456323829042,0.942955030674329,0.942955030674329,0.942955030674329,0.7049984220620008
pds,ica,atc,125,2,1,32,16,2500,0,None,None,0.00025,th_corrected,0.78125,0.7635025062656642,0.78125,0.7686726879247423,0.7796311380497193,0.78125,0.7635025062656642,0.78125,0.78125,0.7658066109985671,0.7801877563120706,0.7883536967418547,0.7883536967418547,0.7883536967418547,0.5317696149712334
pds,ica,atc,125,3,1,32,16,2500,0,None,None,0.00025,th_corrected,0.7842605156037992,0.7761650734038921,0.7842605156037992,0.7539279547951656,0.7991781684605043,0.7842605156037992,0.7761650734038921,0.7842605156037992,0.7842605156037992,0.7614279752028259,0.7887669380513597,0.8214919767838853,0.8214919767838853,0.8214919767838853,0.5248149875306665
pds,ica,atc,125,4,1,32,16,2500,0,None,None,0.00025,th_corrected,0.7656903765690377,0.7487377487377487,0.7656903765690377,0.7517114710302221,0.764494320480155,0.7656903765690377,0.7487377487377487,0.7656903765690377,0.7656903765690377,0.7501161710037174,0.7649943226890235,0.8431343431343431,0.8431343431343431,0.8431343431343431,0.5002986857825568
pds,ica,atc,125,5,1,32,16,2500,0,None,None,0.00025,th_corrected,0.7883116883116883,0.7140909090909091,0.7883116883116883,0.7429907418698234,0.7796473897272141,0.7883116883116883,0.7140909090909091,0.7883116883116883,0.7883116883116883,0.7252041100059334,0.7816417816614866,0.7904214876033057,0.7904214876033057,0.7904214876033057,0.45223235717714827
pds,ica,atc,125,6,1,32,16,2500,0,None,None,0.00025,th_corrected,0.6662286465177398,0.6288853161843515,0.6662286465177398,0.6572882331397478,0.6608695514669549,0.6662286465177398,0.6288853161843515,0.6662286465177398,0.6662286465177398,0.6283322309218724,0.6500096044520188,0.6688888888888889,0.6688888888888889,0.6688888888888889,0.27180874308705416
pds,ica,atc,125,7,1,32,16,2500,0,None,None,0.00025,th_corrected,0.7422402159244265,0.6862556561085973,0.7422402159244265,0.6908594000784678,0.7393226932580943,0.7422402159244265,0.6862556561085973,0.7422402159244265,0.7422402159244265,0.6884066426399716,0.7406671569648159,0.7404803341454926,0.7404803341454926,0.7404803341454926,0.3769243976420763
pds,ica,atc,125,8,1,32,16,2500,0,None,None,0.00025,th_corrected,0.7728531855955678,0.7458999813911341,0.7728531855955678,0.765564244833763,0.7703078412025567,0.7728531855955678,0.7458999813911341,0.7728531855955678,0.7728531855955678,0.7522948830592862,0.7685043139052006,0.8359021659101757,0.8359021659101757,0.8359021659101757,0.506588103909525
pds,ica,atc,125,9,1,32,16,2500,0,None,None,0.00025,th_corrected,0.7767503302509907,0.7592341118957089,0.7767503302509907,0.7403511583188352,0.7889382882735224,0.7767503302509907,0.7592341118957089,0.7767503302509907,0.7767503302509907,0.747410091118197,0.7809580389638333,0.8252596579592777,0.8252596579592777,0.8252596579592777,0.49618197355933
pds,ica,atc,125,10,1,32,16,2500,0,None,None,0.00025,th_corrected,0.6662180349932705,0.6533793918458252,0.6662180349932705,0.652025048429968,0.6678517600653054,0.6662180349932705,0.6533793918458252,0.6662180349932705,0.6662180349932705,0.652620466028203,0.6669580387464715,0.7363225913973608,0.7363225913973608,0.7363225913973608,0.30532474778701
pds,ica,atc,125,1,2,32,16,2500,0,None,None,0.00025,th_corrected,0.8266129032258065,0.8576111997164628,0.8266129032258065,0.8098169376535267,0.8690227162958128,0.8266129032258065,0.8576111997164628,0.8266129032258065,0.8266129032258065,0.815705439009169,0.8326993887831565,0.9356218829903041,0.9356218829903041,0.9356218829903041,0.6384921352377508
pds,ica,atc,125,2,2,32,16,2500,0,None,None,0.00025,th_corrected,0.7894021739130435,0.7597431077694236,0.7894021739130435,0.7842912862714844,0.7875741922018288,0.7894021739130435,0.7597431077694236,0.7894021739130435,0.7894021739130435,0.7676914336216147,0.7846740571384656,0.7872102130325813,0.7872102130325813,0.7872102130325813,0.5376434731859153
